# Reviewed-protein consensus per KO; generated by scripts/build_kegg_swissprot_consensus.py.
# Swiss-Prot 2026_03 (uniprot_sprot.dat.gz sha256 c87208822a56e8ae); KEGG gene links sha256 20ab0dd3b910cb82; go-basic.obo sha256 b08d45b268b8c24c
# ko	predicate	agreeing	proteins
K00697	glycosyltransferase	51	51
K00697	transferase	51	51
K00698	glycosyltransferase	76	77
K00698	transferase	76	77
K00699	glycosyltransferase	47	47
K00699	transferase	47	47
K00700	glycosyltransferase	279	279
K00700	transferase	279	279
K00703	glycosyltransferase	338	338
K00703	transferase	338	338
K00705	glycosyltransferase	18	18
K00705	transferase	18	18
K00706	glycosyltransferase	10	10
K00706	transferase	10	10
K00710	glycosyltransferase	65	69
K00710	transferase	65	69
K00714	regulator	10	10
K00714	regulatory	10	10
K00717	glycosyltransferase	9	9
K00717	transferase	9	9
K00718	glycosyltransferase	13	13
K00718	transferase	13	13
K00719	glycosyltransferase	5	5
K00719	transferase	5	5
K00720	glycosyltransferase	15	15
K00720	transferase	15	15
K00721	glycosyltransferase	14	14
K00721	transferase	14	14
K00726	glycosyltransferase	6	6
K00726	transferase	6	6
K00728	glycosyltransferase	31	31
K00728	transferase	31	31
K00729	carbohydrate_active	9	11
K00729	enzyme	9	11
K00729	glycosyltransferase	11	11
K00729	transferase	11	11
K00731	glycosyltransferase	11	11
K00731	transferase	11	11
K00735	glycosyltransferase	5	5
K00735	transferase	5	5
K00736	glycosyltransferase	5	5
K00736	transferase	5	5
K00743	glycosyltransferase	6	6
K00743	transferase	6	6
K00744	carbohydrate_active	5	5
K00744	enzyme	5	5
K00744	glycosyltransferase	5	5
K00744	transferase	5	5
K00748	glycosyltransferase	254	255
K00748	transferase	254	255
K00749	glycosyltransferase	5	5
K00749	transferase	5	5
K00750	biosynthesis	10	10
K00750	carbohydrate_active	10	10
K00750	central_metabolism	10	10
K00750	energy_metabolism	10	10
K00750	enzyme	9	10
K00750	exopolysaccharide	10	10
K00750	glycosyltransferase	10	10
K00750	sugar_metabolism	10	10
K00750	transferase	10	10
K00752	glycosyltransferase	16	17
K00752	transferase	16	17
K00756	glycosyltransferase	14	14
K00756	transferase	14	14
K00757	glycosyltransferase	14	15
K00757	transferase	14	15
K00758	glycosyltransferase	137	137
K00758	transferase	137	137
K00759	glycosyltransferase	686	686
K00759	transferase	686	686
K00760	glycosyltransferase	47	47
K00760	transferase	47	47
K00761	glycosyltransferase	494	494
K00761	transferase	494	494
K00762	glycosyltransferase	444	445
K00762	transferase	444	445
K00763	ligase	160	160
K00763	synthetase	160	160
K00764	glycosyltransferase	37	37
K00764	transferase	37	37
K00765	glycosyltransferase	525	525
K00765	transferase	525	525
K00766	glycosyltransferase	552	553
K00766	transferase	552	553
K00767	glycosyltransferase	25	25
K00767	transferase	25	25
K00768	glycosyltransferase	203	203
K00768	transferase	203	203
K00769	glycosyltransferase	125	125
K00769	transferase	125	125
K00771	glycosyltransferase	13	13
K00771	transferase	13	13
K00772	glycosyltransferase	55	55
K00772	transferase	55	55
K00773	glycosyltransferase	459	459
K00773	transferase	459	459
K00777	glycosyltransferase	9	9
K00777	transferase	9	9
K00779	glycosyltransferase	7	7
K00779	transferase	7	7
K00783	methyltransferase	612	612
K00783	transferase	612	612
K00784	endonuclease	291	329
K00784	hydrolase	329	329
K00784	nuclease	291	329
K00784	rnase	291	329
K00787	transferase	18	18
K00788	transferase	332	332
K00789	transferase	713	725
K00790	transferase	558	558
K00791	transferase	784	784
K00793	transferase	23	23
K00794	transferase	600	600
K00795	transferase	6	6
K00796	transferase	29	29
K00797	transferase	225	225
K00798	transferase	9	9
K00799	transferase	185	198
K00800	transferase	566	566
K00801	transferase	17	17
K00803	transferase	7	7
K00804	transferase	17	19
K00806	transferase	151	151
K00809	transferase	66	67
K00810	transferase	9	9
K00812	aminotransferase	23	23
K00812	plp_binding	23	23
K00812	transferase	23	23
K00813	aminotransferase	5	5
K00813	plp_binding	5	5
K00813	transferase	5	5
K00814	aminotransferase	13	14
K00814	plp_binding	14	14
K00814	transferase	13	14
K00815	aminotransferase	11	11
K00815	plp_binding	11	11
K00815	transferase	11	11
K00816	aminotransferase	9	9
K00816	lyase	8	9
K00816	plp_binding	9	9
K00816	transferase	9	9
K00817	aminotransferase	524	524
K00817	plp_binding	524	524
K00817	transferase	524	524
K00818	aminotransferase	10	10
K00818	plp_binding	10	10
K00818	transferase	10	10
K00819	aminotransferase	50	50
K00819	plp_binding	50	50
K00819	transferase	50	50
K00820	aminotransferase	162	164
K00820	plp_binding	162	164
K00820	transferase	162	164
K00821	aminotransferase	88	89
K00821	plp_binding	88	89
K00821	transferase	88	89
K00823	enzyme	7	8
K00824	aminotransferase	15	15
K00824	plp_binding	15	15
K00824	transferase	15	15
K00825	aminotransferase	5	5
K00825	plp_binding	5	5
K00825	transferase	5	5
K00826	aminotransferase	60	61
K00826	plp_binding	60	61
K00826	transferase	60	61
K00827	aminotransferase	8	8
K00827	plp_binding	8	8
K00827	transferase	8	8
K00830	aminotransferase	14	14
K00830	plp_binding	14	14
K00830	transferase	14	14
K00831	aminotransferase	264	264
K00831	plp_binding	264	264
K00831	transferase	264	264
K00832	aminotransferase	5	5
K00832	plp_binding	5	5
K00832	transferase	5	5
K00833	aminotransferase	26	26
K00833	plp_binding	26	26
K00833	transferase	26	26
